Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls
Bright Minds Biosciences Inc.,DRUG,Life Sciences,,CSE Composite,CAD,2021-02-08 05:00:00,https://thecse.com/en/listings/life-sciences/bright-minds-biosciences-inc
Britannia Life Sciences Inc.,BLAB,Diversified Industries,US Cannabis,CSE Composite,CAD,2021-11-18 05:00:00,https://thecse.com/en/listings/diversified-industries/britannia-life-sciences-inc
Bunker Hill Mining Corp.,BNKR,Mining,,CSE Composite,CAD,2017-05-19 04:00:00,https://thecse.com/en/listings/mining/bunker-hill-mining-corp
Burrell Resources Inc.,BURY,Mining,,,CAD,2021-07-12 04:00:00,https://thecse.com/en/listings/mining/burrell-resources-inc
Buscando Resources Corp.,BRCO,Mining,,,CAD,2022-03-15 04:00:00,https://thecse.com/en/listings/mining/buscando-resources-corp
BYND Cannasoft Enterprises Inc,BYND,Life Sciences,Cannabis,CSE Composite,CAD,2021-04-26 04:00:00,https://thecse.com/en/listings/life-sciences/bynd-cannasoft-enterprises-inc
BYT Holdings Ltd.,BYT,Diversified Industries,,,CAD,2020-06-08 04:00:00,https://thecse.com/en/listings/diversified-industries/byt-holdings-ltd
C21 Investments Inc.,CXXI,Life Sciences,US Cannabis,CSE Composite,CAD,2018-06-18 04:00:00,https://thecse.com/en/listings/life-sciences/c21-investments-inc
C2C Gold Corp,CTOC,Mining,,CSE Composite,CAD,2015-09-02 04:00:00,https://thecse.com/en/listings/mining/c2c-gold-corp
Camarico Investment Group Ltd.,CIG,Life Sciences,,,CAD,2019-08-13 04:00:00,https://thecse.com/en/listings/life-sciences/camarico-investment-group-ltd
Canada House Wellness Group Inc.,CHV,Life Sciences,Cannabis,,CAD,2015-03-13 04:00:00,https://thecse.com/en/listings/life-sciences/canada-house-wellness-group-inc
Canadian GoldCamps Corp.,CAMP,Mining,,CSE Composite,CAD,2016-08-05 04:00:00,https://thecse.com/en/listings/mining/canadian-goldcamps-corp
Canadian Metals Inc.,CME,Mining,,CSE Composite,CAD,2015-09-01 04:00:00,https://thecse.com/en/listings/mining/canadian-metals-inc
Canadian Nexus Team Ventures Corp (formerly was BXXX/Brand X Lifestyle Corp. until 2021-05-20),TEAM,Technology,,CSE Composite,CAD,2018-01-24 05:00:00,https://thecse.com/en/listings/technology/canadian-nexus-team-ventures-corp-(formerly-was-bxxx/brand-x-lifestyle-corp-until-2021-05-20)
Canadian Overseas Petroleum Limited,XOP,Oil and Gas,,CSE Composite,CAD,2018-10-31 04:00:00,https://thecse.com/en/listings/oil-and-gas/canadian-overseas-petroleum-limited
Canadian Palladium Resources Inc.,BULL,Mining,,CSE Composite,CAD,2016-02-23 05:00:00,https://thecse.com/en/listings/mining/canadian-palladium-resources-inc
CanaFarma Hemp Products Corp.,CNFA,Life Sciences,Cannabis,,CAD,2020-03-19 04:00:00,https://thecse.com/en/listings/life-sciences/canafarma-hemp-products-corp
Canamera Energy Metals Corp. (formerly was HGH/High Point Exploration Inc. until 2021-05-25),EMET,Mining,,CSE Composite,CAD,2020-03-05 05:00:00,https://thecse.com/en/listings/mining/canamera-energy-metals-corp-(formerly-was-hgh/high-point-exploration-inc-until-2021-05-25)
Canamex Gold Corp.,CSQ,Mining,,,CAD,2018-05-07 04:00:00,https://thecse.com/en/listings/mining/canamex-gold-corp
Cannabix Technologies Inc.,BLO,Technology,Cannabis,CSE Composite,CAD,2015-09-01 04:00:00,https://thecse.com/en/listings/technology/cannabix-technologies-inc
CannAmerica Brands Corp.,CANA,Life Sciences,US Cannabis,,CAD,2018-10-15 04:00:00,https://thecse.com/en/listings/life-sciences/cannamerica-brands-corp
Cannibble Food-Tech Ltd,PLCN,Life Sciences,,,CAD,2022-03-03 05:00:00,https://thecse.com/en/listings/life-sciences/cannibble-food-tech-ltd
Canntab Therapeutics Limited,PILL,Life Sciences,Cannabis,CSE Composite,CAD,2018-04-20 04:00:00,https://thecse.com/en/listings/life-sciences/canntab-therapeutics-limited
Cansortium Inc.,TIUM.U,Life Sciences,US Cannabis,,USD,2019-03-21 04:00:00,https://thecse.com/en/listings/life-sciences/cansortium-inc
Canter Resources Corp,CRC,Mining,,,CAD,2021-12-20 05:00:00,https://thecse.com/en/listings/mining/canter-resources-corp
Caprock Mining Corp,CAPR,Mining,,,CAD,2022-01-26 05:00:00,https://thecse.com/en/listings/mining/caprock-mining-corp
Captiva Verde Wellness Corp. (formerly was PWR/Captiva Verde Land Corp. until 2021-05-25),PWR,Life Sciences,Cannabis,CSE Composite,CAD,2018-10-10 04:00:00,https://thecse.com/en/listings/life-sciences/captiva-verde-wellness-corp-(formerly-was-pwr/captiva-verde-land-corp-until-2021-05-25)
Captor Capital Corp,CPTR,Diversified Industries,Cannabis,CSE Composite,CAD,2017-10-30 04:00:00,https://thecse.com/en/listings/diversified-industries/captor-capital-corp
Carl Data Solutions Inc.,CRL,Technology,,CSE Composite,CAD,2015-09-02 04:00:00,https://thecse.com/en/listings/technology/carl-data-solutions-inc
Carlyle Commodities Corp.,CCC,Mining,,,CAD,2018-10-24 04:00:00,https://thecse.com/en/listings/mining/carlyle-commodities-corp
Carson River Ventures Corp.,CRIV,Mining,,,CAD,2022-02-07 05:00:00,https://thecse.com/en/listings/mining/carson-river-ventures-corp
Cartier Iron Corporation,CFE,Mining,,CSE Composite,CAD,2015-09-01 04:00:00,https://thecse.com/en/listings/mining/cartier-iron-corporation
Cascada Silver Corp.,CSS,Mining,,,CAD,2021-03-12 05:00:00,https://thecse.com/en/listings/mining/cascada-silver-corp
Cascadia Blockchain Group Corp.,CK,Technology,Blockchain,CSE Composite,CAD,2018-09-10 04:00:00,https://thecse.com/en/listings/technology/cascadia-blockchain-group-corp
Cashbox Ventures Ltd. (formerly was WIKI/Wikileaf Technologies Inc. until 2021-11-02),CBOX.X,Life Sciences,US Cannabis,,CAD,2019-09-25 04:00:00,https://thecse.com/en/listings/life-sciences/cashbox-ventures-ltd-(formerly-was-wiki/wikileaf-technologies-inc-until-2021-11-02)
CAT Strategic Metals Corporation,CAT,Mining,,CSE Composite,CAD,2018-06-11 04:00:00,https://thecse.com/en/listings/mining/cat-strategic-metals-corporation
CAVU Mining Corp.,CAVU,Mining,,CSE Composite,CAD,2021-02-16 05:00:00,https://thecse.com/en/listings/mining/cavu-mining-corp
CBD Global Sciences Inc.,CBDN,Life Sciences,US Cannabis,CSE Composite,CAD,2019-10-29 04:00:00,https://thecse.com/en/listings/life-sciences/cbd-global-sciences-inc
CDN Maverick Capital Corp,CDN,Mining,,,CAD,2019-11-04 05:00:00,https://thecse.com/en/listings/mining/cdn-maverick-capital-corp
CENTR Brands Corp.,CNTR,Life Sciences,,CSE Composite,CAD,2019-04-03 04:00:00,https://thecse.com/en/listings/life-sciences/centr-brands-corp
Cerro de Pasco Resources Inc.,CDPR,Mining,,CSE Composite,CAD,2018-10-18 04:00:00,https://thecse.com/en/listings/mining/cerro-de-pasco-resources-inc
Cerro Grande Mining Corporation,CEG,Mining,,CSE Composite,CAD,2015-09-02 04:00:00,https://thecse.com/en/listings/mining/cerro-grande-mining-corporation
Certive Solutions Inc.,CBP,Technology,,CSE Composite,CAD,2015-09-02 04:00:00,https://thecse.com/en/listings/technology/certive-solutions-inc
Chalice Brands Ltd. (formerly was GLH/Golden Leaf Holdings Ltd. until 2021-05-21),CHAL,Diversified Industries,US Cannabis,CSE Composite,CAD,2015-10-14 04:00:00,https://thecse.com/en/listings/diversified-industries/chalice-brands-ltd-(formerly-was-glh/golden-leaf-holdings-ltd-until-2021-05-21)
Chemesis International Inc.,CSI,Life Sciences,US Cannabis,,CAD,2018-07-18 04:00:00,https://thecse.com/en/listings/life-sciences/chemesis-international-inc
Chemistree Technology Inc.,CHM,Technology,US Cannabis,,CAD,2015-10-01 04:00:00,https://thecse.com/en/listings/technology/chemistree-technology-inc
Choom Holdings Inc.,CHOO,Life Sciences,Cannabis,CSE Composite,CAD,2017-11-22 05:00:00,https://thecse.com/en/listings/life-sciences/choom-holdings-inc
Choom Holdings Inc. 8JUL2024 Warrants,CHOO.WT,Life Sciences,Cannabis,,CAD,2021-07-09 04:00:00,https://thecse.com/en/listings/life-sciences/choom-holdings-inc-8jul2024-warrants
Christina Lake Cannabis Corp,CLC,Life Sciences,Cannabis,CSE Composite,CAD,2020-10-01 04:00:00,https://thecse.com/en/listings/life-sciences/christina-lake-cannabis-corp
CIM International Group Inc.,CIM,Diversified Industries,,,CAD,2016-05-17 04:00:00,https://thecse.com/en/listings/diversified-industries/cim-international-group-inc
Cirrus Gold Corp,CI,Mining,,,CAD,2021-07-27 04:00:00,https://thecse.com/en/listings/mining/cirrus-gold-corp
City View Green Holdings Inc.,CVGR,Diversified Industries,Cannabis,CSE Composite,CAD,2019-03-05 05:00:00,https://thecse.com/en/listings/diversified-industries/city-view-green-holdings-inc
Clarity Gold Corp.,CLAR,Mining,,CSE Composite,CAD,2020-06-29 04:00:00,https://thecse.com/en/listings/mining/clarity-gold-corp
